sensor_id,timestamp,movement_type,direction,season,foot_traffic_count,vehicle_count,public_transport_ref,vu_schedule_ref
10,2025-05-19 08:49:52,"Vehicle",,,0,1300,false,false
11,2025-05-19 08:49:52,"Pedestrian",,,299,0,false,false
8,2025-05-19 08:47:10,"Pedestrian",,,0,0,false,false
6,2025-05-19 08:47:10,"Vehicle",,,0,0,false,false
1,2025-05-19 08:43:38,"Pedestrian",,,2265,0,false,false
1,2025-05-19 08:43:38,"Vehicle",,,0,5062,false,false
7,2025-05-19 08:40:36,"Pedestrian",,,4042,0,false,false
5,2025-05-19 08:40:36,"Vehicle",,,0,1427,false,false
10,2025-05-19 08:37:50,"Pedestrian",,,3424,0,false,false
9,2025-05-19 08:37:50,"Vehicle",,,0,4917,false,false
8,2025-05-19 08:34:40,"Vehicle",,,0,1593,false,false
9,2025-05-19 08:34:40,"Pedestrian",,,439,0,false,false
5,2025-05-19 08:32:38,"Pedestrian",,,1003,0,false,false
6,2025-05-19 08:31:27,"Pedestrian",,,266,0,false,false
10,2025-05-19 08:30:00,"Cyclist",,,19,0,false,false
3,2025-05-19 08:30:00,"Cyclist",,,41,0,false,false
8,2025-05-19 08:30:00,"Cyclist",,,0,0,false,false
4,2025-05-19 08:30:00,"Cyclist",,,10,0,false,false
2,2025-05-19 08:30:00,"Cyclist",,,7,0,false,false
6,2025-05-19 08:30:00,"Cyclist",,,45,0,false,false
7,2025-05-19 08:30:00,"Cyclist",,,51,0,false,false
13,2025-05-19 08:30:00,"Cyclist",,,8,0,false,false
5,2025-05-19 08:30:00,"Cyclist",,,12,0,false,false
11,2025-05-19 08:30:00,"Cyclist",,,136,0,false,false
1,2025-05-19 08:30:00,"Cyclist",,,40,0,false,false
4,2025-05-19 08:26:46,"Vehicle",,,0,3625,false,false
4,2025-05-19 08:26:46,"Pedestrian",,,2649,0,false,false
3,2025-05-19 08:24:21,"Vehicle",,,0,3661,false,false
3,2025-05-19 08:24:21,"Pedestrian",,,2908,0,false,false
2,2025-05-19 08:21:39,"Pedestrian",,,553,0,false,false
2,2025-05-19 08:21:39,"Vehicle",,,0,2658,false,false
11,2025-05-19 08:20:05,"Pedestrian",,,299,0,false,false
10,2025-05-19 08:20:05,"Vehicle",,,0,1298,false,false
8,2025-05-19 08:17:20,"Pedestrian",,,0,0,false,false
6,2025-05-19 08:17:20,"Vehicle",,,0,0,false,false
1,2025-05-19 08:13:44,"Pedestrian",,,2173,0,false,false
1,2025-05-19 08:13:44,"Vehicle",,,0,4911,false,false
5,2025-05-19 08:10:38,"Vehicle",,,0,1352,false,false
7,2025-05-19 08:10:38,"Pedestrian",,,3889,0,false,false
